dur,proto,state,stos,dtos,tot_pkts,tot_bytes,src_bytes,BinaryLabel
0.000291,3,1,0.0,0.0,2,207,72,0
0.000321,3,1,0.0,0.0,2,247,72,0
0.007678,2,14,0.0,0.0,10,1129,457,0
3585.4302,2,30,0.0,0.0,2514,509187,219986,0
0.000318,3,1,0.0,0.0,2,207,72,0
0.00023,3,1,0.0,0.0,2,247,72,0
0.016656,2,14,0.0,0.0,10,1129,457,0
0.000299,3,1,0.0,0.0,2,207,72,0
0.000247,3,1,0.0,0.0,2,247,72,0
0.006756,2,14,0.0,0.0,10,1129,457,0
194.92244,2,3,0.0,0.0,13,858,396,0
204.85982,2,3,0.0,0.0,14,924,462,0
615.04987,3,1,0.0,0.0,5,450,270,0
0.000342,3,1,0.0,0.0,2,400,74,0
0.000422,3,1,0.0,0.0,2,400,74,0
0.018477,2,9,0.0,0.0,6,412,272,0
0.000285,3,1,0.0,0.0,2,207,72,0
0.000252,3,1,0.0,0.0,2,247,72,0
0.00701,2,14,0.0,0.0,10,1129,457,0
0.000262,3,1,0.0,0.0,2,207,72,0
0.00037,3,1,0.0,0.0,2,247,72,0
0.005838,2,14,0.0,0.0,10,1129,457,0
0.000373,3,1,0.0,0.0,2,244,81,0
0.000362,3,1,0.0,0.0,2,280,81,0
0.215496,2,14,0.0,0.0,10,1219,549,0
0.000431,3,1,0.0,0.0,2,207,72,0
0.00032,3,1,0.0,0.0,2,247,72,0
0.006653,2,14,0.0,0.0,10,1129,457,0
3572.2197,2,30,0.0,0.0,178,14046,7281,0
0.000465,3,1,0.0,0.0,2,400,74,0
0.000413,3,1,0.0,0.0,2,400,74,0
0.017874,2,9,0.0,0.0,6,412,272,0
0.000272,3,1,0.0,0.0,2,207,72,0
0.0003,3,1,0.0,0.0,2,247,72,0
0.006666,2,14,0.0,0.0,10,1129,457,0
0.000306,3,1,0.0,0.0,2,207,72,0
0.00027,3,1,0.0,0.0,2,247,72,0
0.00781,2,14,0.0,0.0,10,1129,457,0
3540.0361,2,30,0.0,0.0,313,83236,17109,0
3570.1455,2,30,0.0,0.0,228,16607,7439,0
3570.1458,2,28,0.0,0.0,172,10320,5160,0
3570.1443,2,30,0.0,0.0,308,36211,9918,0
0.000282,3,1,0.0,0.0,2,207,72,0
0.00025,3,1,0.0,0.0,2,247,72,0
0.014646,2,14,0.0,0.0,10,1129,457,0
0.000385,3,1,0.0,0.0,2,207,72,0
0.000319,3,1,0.0,0.0,2,247,72,0
0.006942,2,14,0.0,0.0,10,1129,457,0
23.97749,2,4,0.0,0.0,6,390,198,0
0.000378,3,1,0.0,0.0,2,400,74,0
0.000364,3,1,0.0,0.0,2,400,74,0
0.018125,2,9,0.0,0.0,7,478,272,0
0.000225,3,1,0.0,0.0,2,207,72,0
0.000421,3,1,0.0,0.0,2,247,72,0
0.007029,2,14,0.0,0.0,10,1129,457,0
0.000387,3,1,0.0,0.0,2,207,72,0
0.000317,3,1,0.0,0.0,2,247,72,0
0.005323,2,14,0.0,0.0,10,1129,457,0
0.000232,3,1,0.0,0.0,2,207,72,0
0.000218,3,1,0.0,0.0,2,247,72,0
0.008086,2,14,0.0,0.0,10,1129,457,0
3572.102,2,30,0.0,0.0,270,19545,12440,0
0.00038,3,1,0.0,0.0,2,400,74,0
0.0004,3,1,0.0,0.0,2,400,74,0
0.018291,2,9,0.0,0.0,6,412,272,0
0.000375,3,1,0.0,0.0,2,207,72,0
0.000274,3,1,0.0,0.0,2,247,72,0
0.007627,2,14,0.0,0.0,10,1129,457,0
0.000241,3,1,0.0,0.0,2,207,72,0
0.000257,3,1,0.0,0.0,2,247,72,0
0.005777,2,14,0.0,0.0,10,1129,457,0
0.000276,3,1,0.0,0.0,2,244,81,0
0.000316,3,1,0.0,0.0,2,280,81,0
0.211382,2,14,0.0,0.0,10,1218,549,0
3487.0076,3,1,0.0,0.0,76,6840,3420,0
0.00023,3,1,0.0,0.0,2,207,72,0
0.000281,3,1,0.0,0.0,2,247,72,0
0.006143,2,14,0.0,0.0,10,1129,457,0
0.030077,3,1,0.0,0.0,2,225,82,0
0.000226,3,1,0.0,0.0,2,225,82,0
0.030426,3,1,0.0,0.0,2,340,82,0
0.202137,2,49,0.0,0.0,18,7203,1186,0
0.000306,3,1,0.0,0.0,2,340,82,0
0.228953,2,14,0.0,0.0,25,6993,1853,0
0.000377,3,1,0.0,0.0,2,225,82,0
0.000204,3,1,0.0,0.0,2,225,82,0
0.000234,3,1,0.0,0.0,2,340,82,0
0.203417,2,49,0.0,0.0,18,7203,1186,0
0.000385,3,1,0.0,0.0,2,400,74,0
0.000354,3,1,0.0,0.0,2,400,74,0
0.017538,2,9,0.0,0.0,6,412,272,0
0.000321,3,1,0.0,0.0,2,207,72,0
0.000549,3,1,0.0,0.0,2,247,72,0
0.006268,2,14,0.0,0.0,10,1129,457,0
0.000399,3,1,0.0,0.0,2,207,72,0
0.000393,3,1,0.0,0.0,2,247,72,0
0.00699,2,14,0.0,0.0,10,1129,457,0
0.000269,3,1,0.0,0.0,2,207,72,0
0.000295,3,1,0.0,0.0,2,247,72,0
0.00975,2,14,0.0,0.0,10,1129,457,0
3583.5295,3,1,0.0,0.0,117,10530,5310,0
0.000256,3,1,0.0,0.0,2,207,72,0
0.000264,3,1,0.0,0.0,2,247,72,0
0.005637,2,14,0.0,0.0,10,1129,457,0
0.000424,3,1,0.0,0.0,2,400,74,0
0.000358,3,1,0.0,0.0,2,400,74,0
0.018309,2,9,0.0,0.0,7,478,272,0
0.000292,3,1,0.0,0.0,2,207,72,0
0.008311,2,14,0.0,0.0,10,1129,457,0
0.000203,3,1,0.0,0.0,2,207,72,0
0.000234,3,1,0.0,0.0,2,247,72,0
0.00944,2,14,0.0,0.0,10,1129,457,0
0.00041,3,1,0.0,0.0,2,207,72,0
0.000275,3,1,0.0,0.0,2,247,72,0
0.006599,2,14,0.0,0.0,10,1129,457,0
0.000335,3,1,0.0,0.0,2,400,74,0
0.000208,3,1,0.0,0.0,2,400,74,0
0.0182,2,9,0.0,0.0,6,412,272,0
0.000271,3,1,0.0,0.0,2,207,72,0
0.000312,3,1,0.0,0.0,2,247,72,0
0.006554,2,14,0.0,0.0,10,1129,457,0
0.000302,3,1,0.0,0.0,2,210,80,0
0.000174,3,1,0.0,0.0,2,247,72,0
0.00636,2,14,0.0,0.0,10,1129,457,0
930.3975,3,1,0.0,0.0,7,630,360,0
0.0003,3,1,0.0,0.0,2,244,81,0
0.230552,2,14,0.0,0.0,10,1219,549,0
0.000231,3,1,0.0,0.0,2,207,72,0
0.00024,3,1,0.0,0.0,2,247,72,0
0.006597,2,14,0.0,0.0,10,1129,457,0
0.402935,2,14,0.0,0.0,15,2044,875,0
0.270054,2,14,0.0,0.0,16,2649,1142,0
0.327049,2,14,0.0,0.0,15,2064,895,0
0.449583,2,14,0.0,0.0,16,2649,1142,0
0.303161,2,14,0.0,0.0,16,2677,1162,0
0.312853,2,14,0.0,0.0,16,2677,1162,0
0.000303,3,1,0.0,0.0,2,400,74,0
0.000288,3,1,0.0,0.0,2,400,74,0
0.018539,2,9,0.0,0.0,6,412,272,0
0.000427,3,1,0.0,0.0,2,207,72,0
0.000224,3,1,0.0,0.0,2,247,72,0
0.008767,2,14,0.0,0.0,10,1129,457,0
0.000239,3,1,0.0,0.0,2,207,72,0
0.000287,3,1,0.0,0.0,2,247,72,0
0.007975,2,14,0.0,0.0,10,1129,457,0
0.000359,3,1,0.0,0.0,2,207,72,0
0.00724,2,14,0.0,0.0,10,1129,457,0
0.000237,3,1,0.0,0.0,2,247,72,0
0.0061,2,14,0.0,0.0,10,1129,457,0
0.000367,3,1,0.0,0.0,2,400,74,0
0.000357,3,1,0.0,0.0,2,400,74,0
0.017944,2,9,0.0,0.0,6,412,272,0
626.1488,3,1,0.0,0.0,5,450,270,0
0.000449,3,1,0.0,0.0,2,247,72,0
0.006074,2,14,0.0,0.0,10,1129,457,0
0.00036,3,1,0.0,0.0,2,207,72,0
0.000282,3,1,0.0,0.0,2,247,72,0
0.006011,2,14,0.0,0.0,10,1129,457,0
0.000163,3,1,0.0,0.0,2,207,72,0
0.000302,3,1,0.0,0.0,2,247,72,0
0.005632,2,14,0.0,0.0,10,1129,457,0
0.000415,3,1,0.0,0.0,2,400,74,0
0.00036,3,1,0.0,0.0,2,400,74,0
0.018212,2,9,0.0,0.0,6,412,272,0
0.000299,3,1,0.0,0.0,2,247,72,0
0.007017,2,14,0.0,0.0,10,1129,457,0
0.000309,3,1,0.0,0.0,2,247,72,0
0.006571,2,14,0.0,0.0,10,1129,457,0
0.000288,3,1,0.0,0.0,2,244,81,0
0.000276,3,1,0.0,0.0,2,280,81,0
0.209281,2,14,0.0,0.0,10,1219,549,0
0.000249,3,1,0.0,0.0,2,207,72,0
0.000306,3,1,0.0,0.0,2,247,72,0
0.007143,2,14,0.0,0.0,10,1129,457,0
0.000349,3,1,0.0,0.0,2,400,74,0
0.000296,3,1,0.0,0.0,2,400,74,0
0.018828,2,9,0.0,0.0,6,412,272,0
0.013119,3,1,0.0,0.0,2,207,72,0
0.017666,3,1,0.0,0.0,2,247,72,0
0.007011,2,14,0.0,0.0,10,1129,457,0
0.000246,3,1,0.0,0.0,2,207,72,0
0.000278,3,1,0.0,0.0,2,247,72,0
0.006531,2,14,0.0,0.0,10,1129,457,0
0.000308,3,1,0.0,0.0,2,207,72,0
0.007306,2,14,0.0,0.0,10,1129,457,0
0.00025,3,1,0.0,0.0,2,207,72,0
0.000222,3,1,0.0,0.0,2,247,72,0
0.006301,2,14,0.0,0.0,10,1129,457,0
0.000248,3,1,0.0,0.0,2,400,74,0
0.000328,3,1,0.0,0.0,2,400,74,0
0.018055,2,9,0.0,0.0,6,412,272,0
0.000263,3,1,0.0,0.0,2,247,72,0
0.005457,2,14,0.0,0.0,10,1129,457,0
0.000207,3,1,0.0,0.0,2,207,72,0
0.000259,3,1,0.0,0.0,2,247,72,0
0.007241,2,14,0.0,0.0,10,1129,457,0
0.00022,3,1,0.0,0.0,2,247,72,0
0.013998,2,14,0.0,0.0,10,1129,457,0
0.000314,3,1,0.0,0.0,2,400,74,0
0.018066,2,9,0.0,0.0,6,412,272,0
0.000265,3,1,0.0,0.0,2,207,72,0
0.000414,3,1,0.0,0.0,2,247,72,0
0.00841,2,14,0.0,0.0,10,1129,457,0
0.000205,3,1,0.0,0.0,2,207,72,0
0.000262,3,1,0.0,0.0,2,247,72,0
0.006155,2,14,0.0,0.0,10,1129,457,0
0.000261,3,1,0.0,0.0,2,244,81,0
0.000283,3,1,0.0,0.0,2,280,81,0
0.206435,2,14,0.0,0.0,10,1219,549,0
0.000192,3,1,0.0,0.0,2,207,72,0
0.000316,3,1,0.0,0.0,2,247,72,0
0.006034,2,14,0.0,0.0,10,1129,457,0
0.000372,3,1,0.0,0.0,2,400,74,0
0.000316,3,1,0.0,0.0,2,400,74,0
0.018234,2,9,0.0,0.0,6,412,272,0
0.000172,3,1,0.0,0.0,2,207,72,0
0.009402,2,14,0.0,0.0,10,1129,457,0
0.000243,3,1,0.0,0.0,2,207,72,0
0.000349,3,1,0.0,0.0,2,247,72,0
0.006286,2,14,0.0,0.0,10,1129,457,0
0.000272,3,1,0.0,0.0,2,227,75,0
0.000261,3,1,0.0,0.0,2,377,75,0
217.93112,2,14,0.0,0.0,35,5630,3542,0
0.000297,3,1,0.0,0.0,2,247,72,0
0.008229,2,14,0.0,0.0,10,1129,457,0
0.000307,3,1,0.0,0.0,2,247,72,0
0.00726,2,14,0.0,0.0,10,1129,457,0
0.000374,3,1,0.0,0.0,2,400,74,0
0.000325,3,1,0.0,0.0,2,400,74,0
0.018185,2,9,0.0,0.0,6,412,272,0
0.000281,3,1,0.0,0.0,2,207,72,0
0.006426,2,14,0.0,0.0,10,1129,457,0
